,cluster,term,pval,cor_pval,duplicated
79,cluster3,D011794,2.007659789040995e-10,3.611042772905961e-07,
80,cluster3,D010126,4.1303633076840477e-10,7.096364869489252e-07,
81,cluster3,C063002,4.287573852282966e-10,7.311901408458117e-07,
82,cluster3,D000077339,7.724120857060713e-10,1.2793422477099299e-06,
83,cluster3,C004312,1.1602616097662468e-09,1.8295974596468094e-06,
84,cluster3,D003471,1.201687981529299e-09,1.8820313982828767e-06,
85,cluster3,D011078,1.4662072185365102e-09,2.265486958976967e-06,
86,cluster3,D000077185,1.6870013875011528e-09,2.572118506208297e-06,
87,cluster3,D015123,2.8199484736122026e-09,4.135176033995983e-06,
88,cluster3,C027576,3.1084774824392944e-09,4.5009385433621796e-06,
89,cluster3,D003033,4.787491915713799e-09,6.76196519199515e-06,
90,cluster3,C030973,1.2774279373437774e-08,1.6522238588481524e-05,
91,cluster3,D014747,1.940060823087125e-08,2.4541236428309528e-05,
92,cluster3,C408982,2.0994328511262557e-08,2.64121272213411e-05,
93,cluster3,D005472,2.2933821787973828e-08,2.8234968562226066e-05,
94,cluster3,D000077211,3.5099697888208035e-08,4.275570341964389e-05,
95,cluster3,D012402,4.705823196956985e-08,5.7020955027337994e-05,
96,cluster3,C058305,5.5145172457678315e-08,6.477447616871934e-05,
97,cluster3,D002104,6.183152713828097e-08,7.189476432025624e-05,
98,cluster3,D008727,1.0367791156947673e-07,0.00011643535215162331,
99,cluster3,C570897,1.2518849554303917e-07,0.0001379564233677198,
100,cluster3,C578989,1.303463173399002e-07,0.00014289990909323105,
101,cluster3,D004918,1.4560808423911957e-07,0.0001566477625885575,
102,cluster3,C000594309,1.6542735604542623e-07,0.00017632181965536228,
103,cluster3,C009495,2.588197036374216e-07,0.0002648300723107795,
104,cluster3,D011374,2.7367253139425705e-07,0.0002787887546028444,
105,cluster3,D003300,2.9223051762927823e-07,0.000295082328601757,
106,cluster3,D013853,2.977678857186362e-07,0.0002993607488627643,
107,cluster3,D002945,4.1695943627733025e-07,0.00040675629752944214,
108,cluster3,D010634,5.457581378514559e-07,0.0005257203652169517,
109,cluster3,D000952,5.951868391009539e-07,0.0005662268183141203,
110,cluster3,C017947,6.761295552465655e-07,0.000637958716625576,
111,cluster3,C072581,9.411076801414878e-07,0.0008463535767991173,
112,cluster3,C544151,1.099323081409057e-06,0.000982939415003093,
113,cluster3,D000077288,1.1015240268033359e-06,0.000982939415003093,
114,cluster3,D014241,1.1406141701976108e-06,0.0010022820508921561,
115,cluster3,C014476,1.1894079128109723e-06,0.0010321947676224905,
116,cluster3,C561695,1.2297033725860007e-06,0.001060331306942367,
117,cluster3,D017239,1.4933116189512944e-06,0.0012501733362656792,
118,cluster3,D002706,1.5479727386165799e-06,0.0012865777030613794,
119,cluster3,C547185,1.948570017870377e-06,0.0015964752041430872,
120,cluster3,D003345,2.7485602458823957e-06,0.002182025112442326,
121,cluster3,D009534,3.052044643935794e-06,0.0023818880615258243,
122,cluster3,D004052,3.128469033882964e-06,0.002433283051776032,
123,cluster3,D008741,3.54556777644307e-06,0.002711888177181414,
124,cluster3,C036990,3.6096886646873718e-06,0.0027517899762504973,
125,cluster3,D014415,4.515080291707505e-06,0.0033531753553495496,
126,cluster3,D003703,6.007088331043064e-06,0.0042949748789266745,
127,cluster3,D005944,6.418121374185162e-06,0.004560530843740058,
128,cluster3,D010100,6.503375943767402e-06,0.004592759897711196,
129,cluster3,D003976,7.538971054570955e-06,0.005259574578904843,
130,cluster3,C027373,8.53000085604962e-06,0.00587969894336534,
131,cluster3,C016805,9.368480122775104e-06,0.0064001731046465825,
132,cluster3,C561322,1.0039602365130864e-05,0.006792892713940128,
133,cluster3,C035318,1.0039602365130864e-05,0.006792892713940128,
134,cluster3,C545733,1.0913482842122025e-05,0.007192808980524116,
135,cluster3,C005136,1.364012446819491e-05,0.008674855402459042,
136,cluster3,C045651,1.536495603157379e-05,0.009612491854263792,
137,cluster3,C410733,1.7976197205509608e-05,0.011155175206572639,
138,cluster3,D019284,1.9646200284244736e-05,0.012126129920751325,
139,cluster3,D009764,2.0056116552382782e-05,0.012313118488726203,
140,cluster3,D008777,2.065680188507573e-05,0.012648170781892447,
141,cluster3,D011285,2.352005344063957e-05,0.014171611978541323,
142,cluster3,D013792,2.663426115907394e-05,0.015642532590172953,
143,cluster3,D002083,3.4289471280056385e-05,0.019444072722785668,
144,cluster3,C000612263,3.549765852018564e-05,0.01993280105563351,
145,cluster3,D016685,3.724587243729234e-05,0.020662484293676214,
146,cluster3,C005223,3.927114165161008e-05,0.021681531383074177,
147,cluster3,D019833,5.19679161521924e-05,0.02756754261783063,
148,cluster3,C018406,5.483983105291182e-05,0.02889130458617076,
149,cluster3,D003436,5.605690940268949e-05,0.02946507298455294,
150,cluster3,C013698,6.257671305013778e-05,0.032374660139253865,
151,cluster3,D005047,6.303438001836952e-05,0.032538318698944226,
152,cluster3,D004958,7.848944155921558e-05,0.03936869647705971,
153,cluster3,D010081,9.108876589370197e-05,0.04471409622148728,
154,cluster3,C024015,9.405181940650829e-05,0.04607038324013483,
155,cluster3,C018021,0.00010310302468053749,0.04930544686241048,
156,cluster3,D014051,0.00010449184698863373,0.04960131025352206,
157,cluster3,D020106,0.0001101463869447221,0.0517519427231605,
158,cluster3,C519728,0.00011697235963729544,0.054076227906619166,
159,cluster3,D008770,0.00011778119562166271,0.05434103359117695,
160,cluster3,D004041,0.00012624503655132648,0.057668181627041945,
161,cluster3,D007529,0.00012748656009669768,0.05800512509537989,
162,cluster3,D006247,0.00013054621487781568,0.0591633903941833,
163,cluster3,D005228,0.00013276572849388454,0.05981602708905003,
164,cluster3,D016604,0.00014665301990523865,0.06505431889727084,
165,cluster3,C044887,0.00015387581487839774,0.06759591213317842,
166,cluster3,C024629,0.00016093438324001964,0.06990777053100664,
167,cluster3,D015125,0.00016878193080484792,0.07233047951210637,
168,cluster3,C474722,0.00017151539949971652,0.07258664126805559,
169,cluster3,C003585,0.00017872885238154316,0.07454801848216358,
170,cluster3,C082164,0.00017872885238154316,0.07454801848216358,
171,cluster3,C035377,0.0001831083308845852,0.07582035157896334,
172,cluster3,C008661,0.0001831083308845852,0.07582035157896334,
173,cluster3,C006253,0.00019049591430802165,0.07834019882547837,
174,cluster3,D001374,0.00022813838515441947,0.0908705185504779,
175,cluster3,D013755,0.00024045306634596538,0.09438674601209333,
176,cluster3,D020122,0.00024381365417519828,0.0946837015610031,
177,cluster3,D012835,0.0002560963078951119,0.09882002072499237,
178,cluster5,D012701,2.4399425968026522e-05,0.014552740527173333,
179,cluster5,D009963,7.558995015684079e-05,0.03808029819443911,
180,cluster5,C005273,0.00023273461769137321,0.09238159889309724,
181,cluster6,C038091,2.314039010568902e-06,0.0018692969516078087,
182,cluster6,D028321,3.825130098184789e-06,0.0028685360809595868,
183,cluster6,D012436,1.0629527601617556e-05,0.007083761813757649,
184,cluster6,D013311,2.560043314061561e-05,0.015113952159001756,
185,cluster6,D026023,2.5785622165005507e-05,0.015182851311862897,
186,cluster6,C435770,2.9024728119479913e-05,0.016959944241896605,
187,cluster6,C006068,3.592731030819812e-05,0.02012497570731122,
188,cluster6,D000077556,4.5054589127995945e-05,0.024521732345136802,
189,cluster6,C029297,5.157072819354746e-05,0.02752947214737771,duplicated
190,cluster6,D001262,6.560044615921562e-05,0.03356191714890092,
191,cluster6,D005905,0.00010739052300560364,0.050872393331203906,
192,cluster6,C068874,0.00010938344595623642,0.05160410624031666,
193,cluster6,D003633,0.00015414422356355162,0.06759591213317842,
194,cluster6,C016766,0.00016165499432053558,0.06995680651775434,
195,cluster6,D005907,0.00021093714403056418,0.0850490437555808,
196,cluster6,D005632,0.00021773975268971605,0.08718110358780848,
197,cluster6,D010622,0.0002492088163235818,0.09658939349847917,
198,cluster7,D002994,5.399412693156111e-08,6.374768139907003e-05,
199,cluster7,C005223,3.6392029692640607e-06,0.002765133675243625,duplicated
200,cluster7,D005001,1.2474744779925796e-05,0.008130486535496077,
201,cluster7,D002992,1.4449350652389483e-05,0.009113977408072243,
202,cluster7,C023036,2.4001779750640795e-05,0.0143814656899161,
203,cluster7,D001553,2.4049796028310122e-05,0.0143814656899161,
204,cluster7,D009853,3.394148723014812e-05,0.0192942688828663,
205,cluster7,D014028,5.120091816820616e-05,0.02747722933630598,
206,cluster7,D000638,7.232287254497848e-05,0.03667518354992879,
207,cluster7,C006068,9.785309325043126e-05,0.04729951883946085,duplicated
208,cluster7,C522391,0.00011983837811969352,0.05489858523444569,
209,cluster7,C043243,0.0001763442763634809,0.07395056653147977,
210,cluster8,D014414,5.421081926356485e-10,9.17697490070163e-07,
211,cluster8,D004791,4.9538622235828175e-09,6.95428616112411e-06,
212,cluster8,C000622638,5.9608317245479765e-09,8.21755978313807e-06,
213,cluster8,C483909,1.7559054344619173e-05,0.010925765639162024,
214,cluster8,D018817,3.237955438864012e-05,0.01869614960288271,
215,cluster9,C029753,9.276411175763148e-10,1.4934697642937559e-06,
216,cluster9,C026487,2.9618481270205928e-08,3.6270823672516806e-05,
217,cluster9,D008701,2.2490080922387407e-07,0.0002332332828989478,
218,cluster9,D014414,6.502834642284468e-06,0.004592759897711196,duplicated
219,cluster9,C018475,1.321269337242981e-05,0.008496905954378919,
220,cluster9,D002990,6.453095023682551e-05,0.03308828066430546,
221,cluster9,D000431,0.0001802995571017887,0.07506232465417596,
222,cluster10,D015123,6.937863855942607e-11,1.3889301793342494e-07,duplicated
223,cluster10,C023514,3.2597384541145683e-10,5.728803706858981e-07,
224,cluster10,C000622638,1.8808490371362495e-09,2.8301860756515886e-06,duplicated
225,cluster10,C006780,1.8036766008941653e-08,2.294206880888725e-05,
226,cluster10,D019284,2.2313507849609763e-08,2.7618964218690364e-05,duplicated
227,cluster10,D004791,4.928608831171345e-08,5.940779937991743e-05,duplicated
228,cluster10,D000171,5.147658805391618e-08,6.172498689954611e-05,
229,cluster10,D001280,1.3631293436052614e-07,0.00014873291617607644,
230,cluster10,C015559,1.7284405672750964e-07,0.00018253680256922434,duplicated
231,cluster10,C089796,3.150511328299834e-07,0.0003151336059365992,
232,cluster10,C078765,3.5162203391385727e-07,0.00034743426076316647,
233,cluster10,D055549,7.395397218138438e-07,0.0006921159855877732,
234,cluster10,C039175,7.610682604862135e-07,0.000709171300808384,
235,cluster10,C005451,7.952535796633929e-07,0.0007352901822409825,
236,cluster10,D013749,1.1375695539534287e-06,0.0010022820508921561,
237,cluster10,C042375,1.1783407952744383e-06,0.0010275890514850666,
238,cluster10,D014635,1.9792655576782097e-06,0.0016158738050229284,
239,cluster10,D010936,2.686080432188711e-06,0.0021472321788216877,
240,cluster10,D004317,2.9504023163058163e-06,0.002318281137445415,
241,cluster10,D019813,3.433732007582838e-06,0.0026439162255710996,
242,cluster10,D001564,3.6647412925059104e-06,0.0027753785002209643,
243,cluster10,C044887,3.741694675715895e-06,0.0028151361330610845,duplicated
244,cluster10,C058305,7.115503458181667e-06,0.004994410925792299,duplicated
245,cluster10,D018817,1.0271212679710323e-05,0.006894139764391571,duplicated
246,cluster10,D000069286,2.476373979950164e-05,0.014731865621034278,
247,cluster10,D000082,3.022416056136849e-05,0.017571609508184496,
248,cluster10,C025643,3.2745041317408566e-05,0.018753052580349223,
249,cluster10,D000077150,3.6061661393559785e-05,0.020151203869738597,duplicated
250,cluster10,D005492,4.371549924628132e-05,0.023905940175712865,
251,cluster10,C408982,5.9242361275198525e-05,0.030997892328596774,duplicated
252,cluster10,D003703,7.60048152580036e-05,0.03820569561741022,duplicated
253,cluster10,D058185,9.692370964264535e-05,0.04708225854154991,
254,cluster10,D012643,0.00011259851950301435,0.05267639044487741,
255,cluster10,C063900,0.00011423454722901132,0.05323815513319662,
256,cluster10,D005485,0.00011926071789782919,0.05480398957690165,
257,cluster10,D019772,0.00015961658071871006,0.06946640320598303,duplicated
258,cluster10,D004113,0.00016816917788843594,0.07223274063314396,
259,cluster10,D000077288,0.00019240729424257967,0.07877626588602465,duplicated
260,cluster10,C016403,0.00022736053566192976,0.09071764180722319,
261,cluster10,D014414,0.00024143923552652,0.09438674601209333,duplicated
262,cluster10,C000623013,0.00025625172058994653,0.09882002072499237,
263,cluster12,D010938,1.9871229821888784e-05,0.01223222964102766,
264,cluster12,C003747,0.00011994348299674744,0.05489858523444569,
265,cluster12,D005557,0.0001750456746951711,0.07353994608886089,
266,cluster13,D014414,3.0851508412489316e-11,6.638120116135844e-08,duplicated
267,cluster13,C026487,7.014100457939487e-08,8.033936706115017e-05,duplicated
268,cluster13,C018475,2.198940973527993e-06,0.0017888734474575342,duplicated
269,cluster13,D000077288,7.086153527064211e-05,0.03601345906773418,duplicated
270,cluster13,D002737,0.00020385281420929073,0.08291875291755116,
271,cluster13,D015123,0.00021042971883115328,0.0850490437555808,duplicated
272,cluster13,D003010,0.0002527376246099485,0.09779246995937042,
273,cluster14,D019422,8.957829742697901e-07,0.0008183795049653271,
274,cluster14,D003999,1.6945774030695735e-06,0.0014033600094305488,duplicated
275,cluster14,D012906,3.4824277518324994e-06,0.0026724730972187906,
276,cluster14,C017435,5.422730329797346e-06,0.00391363037673227,
277,cluster14,D053260,1.508517087846726e-05,0.009463170205708787,duplicated
278,cluster14,D000077610,2.3575751494326536e-05,0.014171611978541323,
279,cluster14,D009822,3.248326567989178e-05,0.01869614960288271,
280,cluster14,C042720,4.0280901975956185e-05,0.02218581496989118,duplicated
281,cluster14,D004040,4.329529292232161e-05,0.023789161844967762,
282,cluster14,D016718,0.00010427157834926453,0.049599016788139313,
283,cluster14,C406082,0.00012873547023182282,0.05845783754264578,
284,cluster14,D011441,0.00013255546613471047,0.05981602708905003,duplicated
285,cluster14,D013752,0.0001518120717257908,0.06703100321370271,duplicated
286,cluster14,C118739,0.00017056803222712379,0.07258599855728202,
287,cluster14,C025605,0.0001926421443971414,0.07877626588602465,
288,cluster14,C019304,0.00020583812913918642,0.08343148464976971,
289,cluster14,C487773,0.00023414862510414187,0.092595704217408,
290,cluster14,C099406,0.00023544973585392585,0.09281920451535973,
291,cluster15,D000077767,1.0471690114042127e-10,1.9924337657068995e-07,duplicated
292,cluster15,C043680,1.1699664405141189e-07,0.0001301234414335087,
293,cluster15,C538724,2.47778096897546e-06,0.0019945703621761374,
294,cluster15,C012589,2.766891980647953e-06,0.0021890299183665806,
295,cluster15,C015001,3.699591309782654e-06,0.002792584948507251,
296,cluster15,C118739,5.00539028005857e-06,0.0036583046896078867,duplicated
297,cluster15,D003471,1.006135917234698e-05,0.006792892713940128,duplicated
298,cluster15,C548651,1.0676795957753956e-05,0.007083761813757649,
299,cluster15,C042720,1.163260491754131e-05,0.007629961444846006,duplicated
300,cluster15,C061365,1.9183068642141202e-05,0.011872102091766016,
301,cluster15,C000588695,3.2449231608631085e-05,0.01869614960288271,
302,cluster15,D014212,3.272472173316472e-05,0.018753052580349223,
303,cluster15,D010662,3.379327358637979e-05,0.0192942688828663,
304,cluster15,D003561,9.693556541945775e-05,0.04708225854154991,
305,cluster15,D000079,0.00011614292834448169,0.05380081625373903,
306,cluster15,C543008,0.00016593954974427773,0.07154200906343884,
307,cluster15,C000611646,0.00019164732597130797,0.07864885137565843,
308,cluster15,C459179,0.00019385012293453622,0.07902649828997445,
309,cluster15,C572573,0.0002427195619447826,0.09455179551393837,
310,cluster16,D014260,6.484741767765324e-08,7.464748367418858e-05,
311,cluster16,D004051,2.59284887535168e-06,0.0020799255481806288,
312,cluster16,D028321,8.564966706747532e-06,0.005886177492719255,duplicated
313,cluster16,C005223,1.4107536324308507e-05,0.008922822940285511,duplicated
314,cluster16,C005136,2.5114635769866038e-05,0.014902105721952082,duplicated
315,cluster16,D009243,3.012993038796859e-05,0.017561172717898907,
316,cluster16,C016104,9.829793100626764e-05,0.04729951883946085,
317,cluster16,D019833,0.00010215486191066559,0.04899708975704788,duplicated
318,cluster16,D016264,0.00013936347645031433,0.0625437745921513,
319,cluster16,D001397,0.00014222963633033576,0.06345894965920842,
320,cluster16,D000077239,0.00015561237716295052,0.06798075812588289,
321,cluster16,C020754,0.00015561237716295052,0.06798075812588289,
322,cluster16,C033273,0.00016163765216258716,0.06995680651775434,
323,cluster16,D019829,0.00016377545967794955,0.0707414731789042,
324,cluster16,C016151,0.00018459003272005173,0.07629666119025837,
325,cluster16,D014859,0.000210934287265553,0.0850490437555808,
326,cluster16,C006068,0.00023369094122905335,0.092595704217408,duplicated
327,cluster17,D014634,5.462737933787121e-05,0.028845386257021557,
328,cluster17,C014638,8.826000679410182e-05,0.04369819368639159,
329,cluster18,C100187,5.074036538720058e-45,2.920425155317063e-40,
330,cluster18,C511295,6.890289983924171e-35,1.133083579677816e-30,
331,cluster18,C028904,2.1050607519562925e-34,3.230917410794249e-30,
332,cluster18,C074702,3.920181549048386e-30,4.2977323672841176e-26,
333,cluster18,D010433,5.050092636438352e-30,5.284807169200089e-26,
334,cluster18,D020888,8.429709924611316e-30,8.437956379972348e-26,
335,cluster18,C051786,9.621198428593792e-26,7.638070373182779e-22,
336,cluster18,C049584,1.2759100851331197e-25,9.791546644992415e-22,
337,cluster18,D004791,4.413628787825617e-24,3.079174811142887e-20,duplicated
338,cluster18,D014414,5.800255647539526e-23,3.609091503931858e-19,duplicated
339,cluster18,C089595,6.341181077009345e-22,3.560727837693845e-18,
340,cluster18,C099555,9.539649270561316e-22,5.229204174559474e-18,
341,cluster18,D000643,2.3191812071028107e-21,1.2417057986168478e-17,
342,cluster18,D002995,3.888877947082628e-20,1.946341142102387e-16,
343,cluster18,D002235,1.2798973851184595e-19,5.777732852723477e-16,
344,cluster18,C012655,6.273086631640842e-17,2.407035616282521e-13,
345,cluster18,C036423,4.756168294214264e-16,1.7109200711491859e-12,
346,cluster18,C039060,6.114364018988381e-15,1.9551103559327778e-11,
347,cluster18,D006540,2.5963423604785776e-14,7.663370768476673e-11,
348,cluster18,D001556,3.561960255371302e-14,1.0380408858137443e-10,
349,cluster18,C525131,1.0745003777556429e-13,3.054035178627073e-10,
350,cluster18,C472791,1.1049802777719893e-13,3.102366883537271e-10,
351,cluster18,D005947,3.4753086781422028e-12,8.696771091579223e-09,
352,cluster18,C005445,7.265471450964949e-12,1.7423887133316724e-08,
353,cluster18,C019499,8.119584215433113e-12,1.888213410099079e-08,
354,cluster18,D000077867,1.0574738256447274e-11,2.4104644703867067e-08,
355,cluster18,D000077206,1.728162622344813e-11,3.78920228313652e-08,
356,cluster18,D018038,4.016415362472766e-11,8.561844692826782e-08,
357,cluster18,D002110,1.0252468144250142e-10,1.9669787320916575e-07,
358,cluster18,C063900,1.1634452304779328e-10,2.1776762454209927e-07,duplicated
359,cluster18,D019256,1.4057026852604638e-10,2.5890232057127223e-07,
360,cluster18,D005897,2.2479249168774927e-10,4.0118489456443466e-07,
361,cluster18,D019328,3.560596618979441e-10,6.210139065185922e-07,
362,cluster18,C016583,3.951882335143418e-10,6.840767748935289e-07,
363,cluster18,C016392,8.112894936703919e-10,1.3316752955811916e-06,
364,cluster18,C043377,8.155770080440787e-10,1.3316752955811916e-06,
365,cluster18,D008825,8.452163152681297e-10,1.3703515928352475e-06,
366,cluster18,D008726,1.0971156142997923e-09,1.741954774497722e-06,
367,cluster18,D008767,1.338994998071522e-09,2.082906239398758e-06,
368,cluster18,D005001,1.844000228417927e-09,2.7929931091284027e-06,duplicated
369,cluster18,C008340,1.9855738878327772e-09,2.9683684956253322e-06,
370,cluster18,D009853,2.440290540571877e-09,3.624618643246196e-06,duplicated
371,cluster18,C038541,2.700840237269914e-09,3.985903484778628e-06,
372,cluster18,C000622638,3.2908580615852097e-09,4.735236232677843e-06,duplicated
373,cluster18,D001553,3.5941758441516925e-09,5.107834158764341e-06,duplicated
374,cluster18,D012969,5.2425012598898285e-09,7.314877894291732e-06,
375,cluster18,D006830,7.4186253214720096e-09,1.0166386991880318e-05,
376,cluster18,D009569,7.600368250539172e-09,1.035381526911468e-05,
377,cluster18,C015586,9.67923417238666e-09,1.2955823763591388e-05,
378,cluster18,C023036,1.0495969940300839e-08,1.3887555629343451e-05,duplicated
379,cluster18,D004052,1.0495969940300839e-08,1.3887555629343451e-05,duplicated
380,cluster18,D014260,1.1187638009554012e-08,1.4551830286720748e-05,duplicated
381,cluster18,D013265,1.5553933693357662e-08,1.9893913247518153e-05,
382,cluster18,D005839,5.347687088829186e-08,6.346243608379892e-05,
383,cluster18,C016340,7.400030985706212e-08,8.434020463783231e-05,
384,cluster18,C013418,1.0149893185804574e-07,0.00011501246482544364,
385,cluster18,D011748,1.4169432694217538e-07,0.0001538753604729355,
386,cluster18,C540596,1.441459591709714e-07,0.00015580283309923424,
387,cluster18,C507616,1.5613520243863763e-07,0.0001671917534020249,
388,cluster18,C009505,1.6829964775926562e-07,0.00017855661937961716,
389,cluster18,C010974,2.5038878875751e-07,0.0002585011609493172,
390,cluster18,C051752,2.585176828975123e-07,0.0002648300723107795,
391,cluster18,D015084,3.299164646762846e-07,0.0003273923193107657,
392,cluster18,D004237,3.8540235162582103e-07,0.0003775713038427857,
393,cluster18,D007213,4.605998279610532e-07,0.00044743289195077414,
394,cluster18,C030370,7.639243461851633e-07,0.000709171300808384,
395,cluster18,D010882,8.836923436078462e-07,0.0008105500789128144,
396,cluster18,D001280,1.4766725527707732e-06,0.0012453001408851696,duplicated
397,cluster18,D005419,2.730853125136361e-06,0.002175469414306293,
398,cluster18,D003300,4.649342120960236e-06,0.003430752531404072,duplicated
399,cluster18,D015741,5.032597425407832e-06,0.0036665498172927793,
400,cluster18,C065250,5.094256595047999e-06,0.0036997641154414055,
401,cluster18,D005492,5.543723061098541e-06,0.0039884488804419116,duplicated
402,cluster18,D009532,5.85591130222384e-06,0.004199928908269419,
403,cluster18,D052638,6.89064921385803e-06,0.004851375276025887,
404,cluster18,D002713,7.487466653798209e-06,0.005239519788360768,
405,cluster18,D004997,8.008465995588207e-06,0.005553461095886431,
406,cluster18,D005485,1.0934881716509679e-05,0.007192808980524116,duplicated
407,cluster18,D008627,1.3556561730675435e-05,0.008667456668133023,
408,cluster18,D007854,1.371017544516876e-05,0.008695386065740987,
409,cluster18,C049325,2.1330939471097156e-05,0.013013252104940493,
410,cluster18,D000431,2.1366095322695218e-05,0.013013252104940493,duplicated
411,cluster18,D014580,2.5602959461442872e-05,0.015113952159001756,
412,cluster18,D008344,3.10735813379949e-05,0.01801993769153621,
413,cluster18,C052034,3.4764412749600565e-05,0.019664955590360664,
